,Tobin's Q,EPS,Liquidity,Profitability,Productivity,Leverage Ratio,Asset Turnover,Operational Margin,Return on Equity,Market Book Ratio,Assets Growth,Sales Growth,Employee Growth,BK
63352,0.992360099,0.002393881,0.781801757,0.209879132,0.055249499,0.00180272,0.095747974,0.077139607,0.003276332,-0.001247687,0.205677377,0.031624415,0.17289924,0
56674,1.416008359,-0.001827895,-1.465488274,-0.424452403,-0.013776862,0.004470982,-1.004099038,-1.245357898,0.002267961,-0.008065478,-1.006616543,-0.98664018,-0.068664026,0
73190,-0.148725023,-0.001186599,-0.217741683,0.12449763,0.034650657,0.002495946,-0.390285134,0.05778527,0.003047473,-0.005595446,-0.069843978,0.009046873,0.241290433,0
73614,-0.172106857,0.000817069,-0.511649494,0.147694872,0.038562205,0.002878828,1.183426774,0.057102678,0.003210874,-0.017519538,0.196293021,0.064967722,0.628727828,0
86529,1.565702921,-0.001150809,-0.395975787,0.12712085,0.034650657,0.001570432,-0.621824099,0.061236371,0.003047473,1.242837711,-0.317321167,-0.416131382,-0.287228208,0
28838,-2.20113491,-0.001319658,-0.770207072,0.075660992,0.015039816,-7.44E-05,-1.016498266,-3.177262549,-0.003106541,-0.022141957,-1.169236838,-1.403547097,-2.524971865,0
32832,1.611266018,-0.001433545,-1.873145914,-0.854191378,-0.138147022,-0.000312304,-1.016498266,0.054398229,-0.000507902,-0.052616507,-0.734518665,-1.425826763,-2.656657283,0
26360,-1.022802121,-0.001257795,0.43952864,-0.089106122,0.032709617,0.002342354,0.626734468,0.054398229,0.002949606,-0.022583593,0.688997459,-0.130567358,0.428508221,0
46637,-0.831033292,-0.001006464,-0.489270844,0.144861458,0.037907609,0.002572647,-0.211573453,0.061934119,0.003243596,-0.022578278,0.070239104,-0.138030725,0.657848523,0
50388,-0.282559857,-0.000479257,0.299452356,0.119337993,0.038562205,0.004094113,0.262713813,0.059158126,0.003178165,-0.020940342,1.266162408,0.141453012,2.223666548,0
27912,0.350726985,-0.000619737,-0.805193943,0.165261771,0.036601597,-7.44E-05,-0.525182713,0.064749747,0.003210874,-0.021046097,-0.242869878,-0.376422883,-0.014930173,0
35199,-0.795094535,-0.000657003,-0.734058865,0.104561305,0.035299882,0.009265675,-0.699021331,0.064749747,0.003210874,-0.006309539,-0.11457863,0.016989746,-0.052690851,0
91264,0.113011831,-0.006603413,-0.67943956,0.022875318,0.033991151,-0.018062829,0.281150543,0.055439244,-0.009209565,-0.022845821,-0.486337202,-0.180815043,-0.255412873,0
18749,-0.361319719,-0.000933629,-1.164171516,-0.074287589,0.036601597,0.023750118,0.175658176,0.058470425,0.003276332,-0.022222796,0.264756571,0.148268618,0.402428354,0
42663,1.727567464,-0.001424828,0.299452356,-0.372878739,0.016897966,0.026032742,0.473084806,0.043347288,0.00268925,0.027015636,0.52729981,0.108441424,0.805891541,0
69294,-0.795094535,-0.001204447,1.345555619,0.094121333,0.032709617,-7.44E-05,-0.369986771,0.054398229,0.003047473,-0.021887704,-0.067349718,-0.013663287,0.278058212,0
10057,-0.532722391,0.001810948,-0.078343175,0.132453055,0.039874539,0.00477154,0.210693105,0.060541113,0.003276332,-0.007348143,-0.186170916,-0.108086015,0.041866032,0
91618,0.334427799,-0.000852929,0.58137738,0.097720126,0.039053382,0.00480331,0.150619646,0.060274373,0.003173081,-0.011770799,0.224635901,-0.008216561,-0.198485685,0
2716,-0.924308643,0.00137614,1.074896983,0.180625222,0.039217851,0.004245019,0.73686323,0.058470425,0.003309082,-0.022643492,0.512314641,0.137739054,0.174774268,0
82358,2.295376829,-0.001398634,-3.096617468,-1.62816025,-0.690061544,-0.003057773,0.874937329,-0.249275894,0.000983432,-0.026126557,0.965387987,0.038445105,-0.546740889,0
81741,-0.675052886,-0.000516829,-0.489270844,0.120616985,0.035299882,0.014400278,-0.0689039,0.057102678,0.003145471,-0.000500998,0.686528992,-0.004011241,-0.140492147,0
91991,-1.143474401,-0.003494168,0.791344536,0.091951422,0.02741006,-7.11E-05,1.254431242,0.052227826,-0.00554844,-0.022702116,-0.285026674,-0.29866414,-0.451273011,0
